Hidden Neurons,Epoch,Parameters,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,100,805,1.9518330532407004,0.28125,1.8399289307320954,0.2994
1,200,805,1.9163735158859738,0.2975,1.7974099095459957,0.3167
1,300,805,1.905280826583741,0.2995,1.7857187872479676,0.3219
1,400,805,1.8967114857264928,0.30675,1.7703905006882492,0.3153
1,500,805,1.8913088052991838,0.30575,1.7632260299791955,0.3145
1,600,805,1.8875039645603724,0.306,1.7578992167855525,0.3149
1,700,805,1.8855143028592307,0.309,1.7603666182536228,0.3215
1,800,805,1.8829371096595886,0.30825,1.7569857372599802,0.3206
1,900,805,1.8800290993281774,0.3025,1.755861993048601,0.3183
1,1000,805,1.8800900606882005,0.30725,1.753115168802298,0.3117
1,1100,805,1.8792511924864754,0.3055,1.7541422919862588,0.3094
1,1200,805,1.8754881904238747,0.3065,1.7510550485295096,0.3119
1,1300,805,1.8757701355313499,0.30625,1.7526678234148936,0.3193
1,1400,805,1.8769497606489394,0.31125,1.761389867515321,0.3221
1,1500,805,1.872685644361708,0.30975,1.7526629646872258,0.3195
1,1600,805,1.87148502327147,0.30825,1.7498082324957391,0.31
1,1700,805,1.8718329213914418,0.31225,1.749143193481834,0.3142
1,1800,805,1.8725445989578489,0.31125,1.751203915116134,0.3156
1,1900,805,1.870579441388448,0.31625,1.750010581532861,0.3134
1,2000,805,1.8703914975363112,0.309,1.7518728690542233,0.3098
2,100,1600,1.6173489945275443,0.4495,1.370646551536147,0.5004
2,200,1600,1.586683744475955,0.4615,1.3696141869399199,0.4915
2,300,1600,1.5730998818836515,0.463,1.3832086233576393,0.4918
2,400,1600,1.566504230574956,0.46325,1.39369352759829,0.4814
2,500,1600,1.5581981378888328,0.465,1.3873995580490988,0.4868
2,600,1600,1.5539763200850714,0.46225,1.403373183718153,0.4828
2,700,1600,1.551340623507424,0.46175,1.4043138547308127,0.4813
2,800,1600,1.5462660562424433,0.46525,1.4144584601092491,0.4767
2,900,1600,1.5440830238281735,0.461,1.4252747714899148,0.4751
2,1000,1600,1.5420604698241702,0.4665,1.437727672658908,0.4637
2,1100,1600,1.5370706868550135,0.46325,1.4163511110718843,0.4761
2,1200,1600,1.5364527910474748,0.47,1.4297748492781523,0.4689
2,1300,1600,1.534494155929202,0.4665,1.428912922455247,0.4699
2,1400,1600,1.5323262195738534,0.4665,1.4418075585820873,0.4687
2,1500,1600,1.532863423937843,0.46375,1.4435054056204049,0.4667
2,1600,1600,1.5312528061488317,0.4685,1.4361371303060253,0.4703
2,1700,1600,1.5278768728649805,0.46575,1.4431304248275272,0.4676
2,1800,1600,1.5274250242445204,0.467,1.4368212002857474,0.4709
2,1900,1600,1.5245473195636083,0.46825,1.4413553874963407,0.4694
2,2000,1600,1.5279669137228102,0.467,1.4493549606602663,0.4663
4,100,3190,1.192502999116504,0.70525,0.8434845446401341,0.7608
4,200,3190,1.1209633615281847,0.70825,0.8741032976633424,0.7458
4,300,3190,1.0855276367020985,0.71225,0.8767742958797771,0.7371
4,400,3190,1.0643585040455772,0.71925,0.8871646293788958,0.7308
4,500,3190,1.0553453271351163,0.71675,0.9271513094567949,0.7205
4,600,3190,1.0451934451148623,0.72025,0.9289649187759229,0.7138
4,700,3190,1.0344700113175407,0.722,0.9284752125193358,0.715
4,800,3190,1.0282339633457245,0.719,0.9382493830030891,0.7082
4,900,3190,1.0220710076983013,0.72475,0.9539589971114116,0.7017
4,1000,3190,1.0132174558109708,0.7285,0.9644864611564927,0.7017
4,1100,3190,1.0103858983705913,0.7245,0.9621411241163873,0.7019
4,1200,3190,1.0118861785010687,0.7265,0.9785575160555019,0.6991
4,1300,3190,1.0054732646260942,0.72725,1.009810009959397,0.6815
4,1400,3190,1.0015840520934454,0.729,0.9801239494685154,0.696
4,1500,3190,0.9988774515333629,0.732,0.9809831500433053,0.6957
4,1600,3190,0.997383884021214,0.727,1.0011625973282345,0.6887
4,1700,3190,0.9981685753852602,0.73025,1.0105492954800843,0.6886
4,1800,3190,0.9897399024357871,0.7315,1.004647401108104,0.6924
4,1900,3190,0.9928598053871639,0.73075,1.0085026443384255,0.6869
4,2000,3190,0.9857709123974755,0.73125,1.0154977325041583,0.6906
6,100,4780,1.02394305713593,0.746,0.6982157883370758,0.8074
6,200,4780,0.9403119768415179,0.758,0.7437661168681589,0.7866
6,300,4780,0.8883599724088397,0.7645,0.7561566772734284,0.7753
6,400,4780,0.8536808627938467,0.77275,0.8200999953944212,0.7512
6,500,4780,0.8298267400453961,0.78025,0.8458414413746754,0.7451
6,600,4780,0.8135768473148346,0.78475,0.8683838206491653,0.739
6,700,4780,0.7998802524710459,0.78925,0.9095627895206403,0.7289
6,800,4780,0.7852014464045328,0.793,0.9354918526995714,0.7216
6,900,4780,0.7750201277316563,0.7985,0.9398597541508401,0.7195
6,1000,4780,0.7669744548343477,0.79925,0.9679423525075245,0.713
6,1100,4780,0.7613476070146712,0.7955,0.9908749390939239,0.7057
6,1200,4780,0.7530717310451326,0.803,0.9970305715776553,0.7077
6,1300,4780,0.7429612018759288,0.80425,1.0153866920881212,0.7022
6,1400,4780,0.7383902569611868,0.80325,1.0333017739141064,0.6995
6,1500,4780,0.7349611331546118,0.804,1.0658299376250833,0.6933
6,1600,4780,0.7280833437329247,0.80975,1.0730344846749762,0.693
6,1700,4780,0.7200171417660184,0.81175,1.0797177733509404,0.6932
6,1800,4780,0.7199157268281967,0.80825,1.1286556261360265,0.6781
6,1900,4780,0.7086541255315145,0.80975,1.1185627006421424,0.6891
6,2000,4780,0.7041776984456986,0.8105,1.1323482424590239,0.6849
8,100,6370,0.926988128631834,0.7705,0.6744960192472312,0.8205
8,200,6370,0.8192858185086932,0.7835,0.7104875377978489,0.7921
8,300,6370,0.7597543313389733,0.79975,0.7783535983721921,0.767
8,400,6370,0.7118125122690958,0.8045,0.8394522078477653,0.7458
8,500,6370,0.6785729839688256,0.815,0.8904864138858334,0.7356
8,600,6370,0.6488912034602392,0.823,0.9590112451155475,0.7234
8,700,6370,0.6304195896973686,0.8265,0.9979367986985832,0.7125
8,800,6370,0.6114036280011373,0.836,1.0309847447143239,0.7119
8,900,6370,0.5946398098317404,0.83775,1.1054812022455178,0.693
8,1000,6370,0.5751025000261882,0.84725,1.1187513130865279,0.6959
8,1100,6370,0.563352832718501,0.84625,1.1660884952848884,0.6884
8,1200,6370,0.553332050168325,0.851,1.2074366052439258,0.6817
8,1300,6370,0.5384136499866606,0.856,1.23901487801485,0.6769
8,1400,6370,0.524325638536423,0.85825,1.2578716976627422,0.6762
8,1500,6370,0.5189469442481086,0.86175,1.2856317300135922,0.6772
8,1600,6370,0.5109039601825532,0.861,1.3179289267700949,0.6747
8,1700,6370,0.5024852700649746,0.866,1.3437280083537861,0.6739
8,1800,6370,0.4928440427969372,0.86975,1.3910083522082894,0.668
8,1900,6370,0.48732485137288534,0.87325,1.4175342679213567,0.6653
8,2000,6370,0.4782074727709331,0.87275,1.441419555503092,0.6634
10,100,7960,0.8331182835594056,0.78925,0.6077042386220519,0.8356
10,200,7960,0.7043738767268166,0.81175,0.6757479303391876,0.803
10,300,7960,0.6244784286097874,0.83175,0.7526861401690039,0.7801
10,400,7960,0.5707191512698219,0.849,0.813126973665444,0.7629
10,500,7960,0.5263012446581371,0.86,0.8711474311959212,0.7547
10,600,7960,0.49378816759775557,0.869,0.942516006671699,0.739
10,700,7960,0.4641131612043532,0.8745,0.9922027760630201,0.7305
10,800,7960,0.43952454650212847,0.88375,1.0414336303806608,0.726
10,900,7960,0.41994220160302664,0.88725,1.1062558674888245,0.7145
10,1000,7960,0.40284754643364556,0.8945,1.1553524575036043,0.7127
10,1100,7960,0.38472928958279745,0.899,1.1913040200616145,0.7089
10,1200,7960,0.3711523330873913,0.9055,1.2391598619473208,0.7061
10,1300,7960,0.35751785952893517,0.90675,1.285895591898329,0.7017
10,1400,7960,0.34934778109429376,0.9115,1.3380994608827457,0.6968
10,1500,7960,0.3349172392534831,0.91575,1.359743176372188,0.6971
10,1600,7960,0.3241940296831585,0.91725,1.4136112478508311,0.6906
10,1700,7960,0.3157315682324152,0.92075,1.454493806240665,0.688
10,1800,7960,0.3086570210400082,0.92425,1.4894587744952767,0.686
10,1900,7960,0.29689075005432913,0.923,1.529090024863079,0.6827
10,2000,7960,0.2905483025880087,0.92625,1.5629677605477108,0.6817
12,100,9550,0.8346569670571221,0.78525,0.6525417438168435,0.8197
12,200,9550,0.6856806131582411,0.8185,0.7208219463848005,0.7867
12,300,9550,0.5943019863158937,0.84075,0.8088413877471997,0.7628
12,400,9550,0.5290070185585628,0.85625,0.9049595192928982,0.7397
12,500,9550,0.479455024950088,0.875,0.9696692088796834,0.7285
12,600,9550,0.44282094117194887,0.88575,1.0285682995228251,0.7202
12,700,9550,0.4091641770468818,0.89425,1.1067547722227256,0.7078
12,800,9550,0.3825181970993678,0.90575,1.1747560387204408,0.6974
12,900,9550,0.3601331535785917,0.911,1.247407498917762,0.6921
12,1000,9550,0.3396472034473268,0.91875,1.312490598411317,0.682
12,1100,9550,0.3195038501705442,0.92575,1.3555765232652615,0.6814
12,1200,9550,0.3025506025268918,0.92925,1.4148457266722516,0.6777
12,1300,9550,0.2889473107126024,0.9365,1.4733844107123697,0.6697
12,1400,9550,0.2741651414405732,0.938,1.5191249010289551,0.6699
12,1500,9550,0.2639125980555065,0.943,1.5800053807580547,0.6645
12,1600,9550,0.2513146057488426,0.94425,1.6316225532513515,0.6587
12,1700,9550,0.24099051573919872,0.94725,1.6796416099284106,0.6562
12,1800,9550,0.23272938163034498,0.95175,1.7347367282506008,0.6533
12,1900,9550,0.22375766873832734,0.95325,1.7752733879787908,0.6492
12,2000,9550,0.21431557503011492,0.955,1.8240049042899138,0.6479
14,100,11140,0.7716033241105458,0.79725,0.6437609387431175,0.8208
14,200,11140,0.6085116773370712,0.8375,0.7226926925455689,0.7953
14,300,11140,0.5079176033300067,0.86675,0.8490214181743609,0.7572
14,400,11140,0.44324656587744515,0.8845,0.9410322851436154,0.7368
14,500,11140,0.39178046655087245,0.897,1.0249147212049763,0.7241
14,600,11140,0.35254003793474226,0.9105,1.1197032904738833,0.7116
14,700,11140,0.31952042168094996,0.91875,1.2029252655946525,0.6989
14,800,11140,0.2885313951779926,0.931,1.2795281330491328,0.6936
14,900,11140,0.26341612589737723,0.93725,1.3523850440979004,0.6928
14,1000,11140,0.2412898309883617,0.9455,1.427618023126748,0.6863
14,1100,11140,0.22396487399699197,0.95325,1.5073382379902396,0.6762
14,1200,11140,0.20559964873014935,0.95875,1.5685116952391946,0.6749
14,1300,11140,0.19135178235315142,0.963,1.6378681333201706,0.6713
14,1400,11140,0.17955536454442947,0.967,1.6929408754133115,0.6674
14,1500,11140,0.1684686632619964,0.96975,1.7636289750314822,0.662
14,1600,11140,0.15807776295003437,0.97425,1.8197331526287042,0.6608
14,1700,11140,0.1485777125945167,0.978,1.8716128914599206,0.6592
14,1800,11140,0.14129658126168781,0.979,1.9394057630353672,0.6551
14,1900,11140,0.13381049060632313,0.9815,1.9764661732942435,0.6565
14,2000,11140,0.12742509148896686,0.98125,2.0322049704326948,0.6517
16,100,12730,0.7349041473297846,0.8075,0.6014360358380968,0.8357
16,200,12730,0.5668963458802965,0.84,0.6982392368802599,0.8019
16,300,12730,0.46737177125991336,0.87075,0.800387204927244,0.7727
16,400,12730,0.3951694158807633,0.89425,0.9106313670706597,0.7539
16,500,12730,0.3392540415128072,0.912,0.9801562652466403,0.7481
16,600,12730,0.2978376117017534,0.92725,1.0842973445631137,0.7297
16,700,12730,0.2658026530629113,0.93525,1.1663430391982863,0.7209
16,800,12730,0.23834232028041566,0.94625,1.238611273894644,0.7145
16,900,12730,0.21519731434564743,0.9515,1.3098207260393033,0.7077
16,1000,12730,0.19572208124020743,0.959,1.3764535587304716,0.704
16,1100,12730,0.1787263820805247,0.965,1.4386641550215946,0.7007
16,1200,12730,0.16580749586934135,0.96875,1.493451298991586,0.6974
16,1300,12730,0.15281034473861968,0.9725,1.5535965563764997,0.6945
16,1400,12730,0.1426509048139292,0.97475,1.6132862989310246,0.6886
16,1500,12730,0.13244676412571044,0.98,1.66636938255304,0.6867
16,1600,12730,0.12356781699354687,0.98075,1.7035963620729506,0.6855
16,1700,12730,0.11522647874459388,0.983,1.752360498449605,0.6842
16,1800,12730,0.10893934060420309,0.98425,1.7937532769646614,0.6798
16,1900,12730,0.10291255543392802,0.9865,1.8379261243115566,0.6792
16,2000,12730,0.0979057527368977,0.98675,1.8719167610642258,0.679
18,100,14320,0.7199887037277222,0.808,0.6133577681271134,0.8354
