Hidden Neurons,Epoch,Parameters,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,100,805,1.9364993553312997,0.27675,1.860484392779648,0.2759
1,200,805,1.9099277560673062,0.299,1.8062207600113693,0.3065
1,300,805,1.8979478128372678,0.3095,1.7960076453579459,0.3137
1,400,805,1.8906833292945984,0.311,1.7907338878911012,0.3175
1,500,805,1.8833710901320926,0.314,1.7856206438343996,0.3187
1,600,805,1.8805455215393552,0.315,1.783770021359632,0.3168
1,700,805,1.8776782732161263,0.316,1.7777327147259074,0.3168
1,800,805,1.875240131030007,0.31725,1.7760398106969846,0.3183
1,900,805,1.8705758613253396,0.31825,1.7764092501561353,0.3149
1,1000,805,1.870221289377364,0.3205,1.7782496836534731,0.3173
1,1100,805,1.8717392380275424,0.31775,1.7770656408018368,0.3197
1,1200,805,1.8699193152170333,0.3185,1.7707551702572282,0.3182
1,1300,805,1.8687617457102215,0.32075,1.780198321220981,0.3185
1,1400,805,1.8665360439391363,0.3235,1.7762730174763188,0.3182
1,1500,805,1.867789518265497,0.319,1.7738542989560753,0.3168
1,1600,805,1.8662492093585787,0.31975,1.7758670027848262,0.3185
1,1700,805,1.8662880942935036,0.3215,1.7765037565474298,0.3172
1,1800,805,1.8630875197667924,0.31875,1.7762122085899303,0.3172
1,1900,805,1.8659564559421842,0.322,1.7782991570272264,0.3174
1,2000,805,1.8619951974777949,0.319,1.7753640010858038,0.316
1,2100,805,1.863095487867083,0.32225,1.777286518151593,0.3155
1,2200,805,1.8636612135266502,0.3205,1.780435103519707,0.3161
1,2300,805,1.861817999491616,0.3175,1.777554866614615,0.3117
1,2400,805,1.8604522924574594,0.321,1.7761496259908007,0.3162
1,2500,805,1.8631717666747079,0.32475,1.7818844067822597,0.3105
1,2600,805,1.8594269222683377,0.31975,1.777970430197989,0.3138
1,2700,805,1.8590049762574454,0.319,1.7850934267044067,0.3092
1,2800,805,1.859770180687072,0.32125,1.774318054982811,0.3147
1,2900,805,1.8609673466001238,0.31875,1.7750569847738666,0.3143
1,3000,805,1.8585501360514807,0.31825,1.7766943167728984,0.3148
1,3100,805,1.8589802128928048,0.32075,1.7742151697729802,0.3147
1,3200,805,1.859889130743723,0.32,1.7770265371176848,0.312
1,3300,805,1.8599847176718334,0.32125,1.7763616727415923,0.3148
1,3400,805,1.8567989534801908,0.3195,1.7774261577873474,0.3151
1,3500,805,1.858107021876744,0.31925,1.7755244188247972,0.3157
1,3600,805,1.8582308557298448,0.32,1.7785406127856795,0.3136
1,3700,805,1.8601721638724917,0.31525,1.7773513118172908,0.3139
1,3800,805,1.8563990649722872,0.32275,1.7746534005851502,0.3149
1,3900,805,1.8563626001751612,0.319,1.7771944817464063,0.3117
1,4000,805,1.8563705285390217,0.3205,1.782449272787495,0.3128
2,100,1600,1.5939260948271978,0.469,1.33278642528376,0.5052
2,200,1600,1.56135222268483,0.4885,1.3241401033796323,0.4978
2,300,1600,1.543375944334363,0.4925,1.3128400581657507,0.5032
2,400,1600,1.5357357320331393,0.497,1.335304990315893,0.4939
2,500,1600,1.5312170736373416,0.49025,1.3444771721104907,0.488
2,600,1600,1.5248404684520902,0.49925,1.3588305681374422,0.5021
2,700,1600,1.5159447041768876,0.49825,1.3492423034018013,0.5031
2,800,1600,1.5173570920550634,0.50075,1.3643920231776632,0.5012
2,900,1600,1.5101562870873346,0.5035,1.3660694189891693,0.5001
2,1000,1600,1.5067835005502852,0.50125,1.3591231563288695,0.5033
2,1100,1600,1.5035103691948786,0.502,1.3632014329266395,0.4955
2,1200,1600,1.5040114361142356,0.5065,1.3580458938695823,0.5011
2,1300,1600,1.502129040067158,0.50125,1.3781406507370577,0.4908
2,1400,1600,1.4970374675024123,0.50525,1.3735462214536727,0.4929
2,1500,1600,1.496776058560326,0.50425,1.3795130765362151,0.491
2,1600,1600,1.4980498022503324,0.50425,1.3865238557195967,0.4929
2,1700,1600,1.4941335897597054,0.50275,1.383856027748934,0.4899
2,1800,1600,1.4926135918450734,0.505,1.3760859411992845,0.4926
2,1900,1600,1.496027051456391,0.5075,1.38859568659667,0.4899
