Hidden Neurons,Epoch,Parameters,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,100,805,1.9165080331620716,0.296,1.7787341228715934,0.3282
1,200,805,1.9013638269333613,0.3035,1.7798031128136216,0.3198
1,300,805,1.8883742150806246,0.3075,1.7797434800749372,0.3186
1,400,805,1.88780487151373,0.31225,1.7823030531026756,0.3149
1,500,805,1.8828020568877932,0.30525,1.7870859059558553,0.3131
1,600,805,1.8787788114850483,0.305,1.7891026454366696,0.3114
1,700,805,1.8766898938587733,0.302,1.790121663907531,0.3107
1,800,805,1.878532638625493,0.30125,1.7909902288655566,0.3112
1,900,805,1.8747200719893924,0.30425,1.8000070532416081,0.3057
1,1000,805,1.8726960723362271,0.302,1.7974266466821076,0.3092
1,1100,805,1.8733649367377871,0.29875,1.7922863656548178,0.3076
1,1200,805,1.8724469703341287,0.30425,1.7974593791232747,0.3057
1,1300,805,1.8726258429269942,0.299,1.793350175687462,0.3038
1,1400,805,1.8715809034922766,0.3055,1.7968455044327267,0.3041
1,1500,805,1.8711366539909726,0.3,1.7966959423320308,0.3039
1,1600,805,1.8710154881553045,0.332,1.8008627906726424,0.3134
1,1700,805,1.867409111961486,0.32825,1.7978243736704445,0.3137
1,1800,805,1.8707397211165655,0.32825,1.8068298238098242,0.2997
1,1900,805,1.8683437733423143,0.324,1.8001552470930062,0.3107
1,2000,805,1.8676151794100564,0.32275,1.8014034868045976,0.3118
2,100,1600,1.6027686368851435,0.509,1.3163987109615545,0.5388
2,200,1600,1.5598180388647414,0.52625,1.311209338485815,0.5486
2,300,1600,1.542143638171847,0.53475,1.3089296787407747,0.5351
2,400,1600,1.5314559936523438,0.53225,1.3121646285816362,0.5378
2,500,1600,1.524723317888048,0.5305,1.3214037566427972,0.5369
2,600,1600,1.5181303478422619,0.5355,1.3150816343392535,0.5374
2,700,1600,1.5117877475799075,0.532,1.3243281063000867,0.5311
2,800,1600,1.5098992851045396,0.538,1.3293717017598972,0.5296
2,900,1600,1.5076965850497048,0.541,1.3197635290729013,0.5368
2,1000,1600,1.5058668549098666,0.536,1.3260269092906052,0.5291
2,1100,1600,1.502413583180261,0.53025,1.344756293448673,0.5237
2,1200,1600,1.5019399154753912,0.54075,1.3291679787787662,0.5322
2,1300,1600,1.5001431949554929,0.5415,1.3522715933004004,0.519
2,1400,1600,1.4982677508914282,0.54125,1.3357447712284745,0.5256
2,1500,1600,1.4955015636625744,0.541,1.3432492746669016,0.5249
2,1600,1600,1.4929570016406832,0.542,1.342484134397689,0.5255
2,1700,1600,1.4883316660684252,0.53725,1.3456717516965926,0.5274
2,1800,1600,1.4920129208337694,0.54275,1.3640335335093698,0.5126
2,1900,1600,1.4925215547046964,0.542,1.3661259868342406,0.5127
2,2000,1600,1.4875601927439372,0.53975,1.3442435944156281,0.5275
4,100,3190,1.169780549548921,0.7085,0.8089090099759922,0.7822
4,200,3190,1.1051852353035458,0.72425,0.8175206693114748,0.7679
4,300,3190,1.08144054620985,0.7295,0.8567016200654826,0.7444
4,400,3190,1.0564879898041013,0.72975,0.8521327835739039,0.7441
4,500,3190,1.0434891997821747,0.72925,0.8786904170254993,0.7338
4,600,3190,1.0348503305798484,0.731,0.8802410683054833,0.7332
4,700,3190,1.0255652760702467,0.7325,0.8977524283205628,0.7228
4,800,3190,1.0198517971568637,0.7375,0.9047369619084012,0.72
4,900,3190,1.0185783202686007,0.73575,0.9102241911326244,0.7194
4,1000,3190,1.0043931054690527,0.73575,0.917364423252215,0.7179
4,1100,3190,1.0056285318874179,0.738,0.9274602196398815,0.711
4,1200,3190,0.9988392525249057,0.739,0.9327883473627127,0.7099
4,1300,3190,0.9924394743783134,0.74225,0.9562454054689711,0.7046
4,1400,3190,0.9891406080079457,0.73875,0.9459515830893426,0.7066
4,1500,3190,0.986638279188247,0.73875,0.9513497297551222,0.7038
4,1600,3190,0.9814209729906113,0.74125,0.9586052218819879,0.7029
4,1700,3190,0.9811393476667858,0.7415,0.9786683313406197,0.6947
4,1800,3190,0.9779387201581683,0.7415,0.9768637018218921,0.6977
4,1900,3190,0.9742860065566169,0.7415,0.9881483489161085,0.6934
4,2000,3190,0.971658690581246,0.74475,0.9898458958431414,0.693
6,100,4780,0.9898393182527452,0.7605,0.7040526444555089,0.8165
6,200,4780,0.904559296274942,0.77325,0.7209055543325509,0.7964
6,300,4780,0.8653815171075245,0.781,0.7730780692806669,0.7718
6,400,4780,0.8343630395238362,0.7865,0.7851408238813375,0.7701
6,500,4780,0.8124134029660907,0.7885,0.8104193929084547,0.7591
6,600,4780,0.7961814365689717,0.79525,0.8480508373041821,0.7498
6,700,4780,0.7789814141061571,0.7955,0.860474772324228,0.7479
6,800,4780,0.7666955874079749,0.8,0.9159583709422191,0.7287
6,900,4780,0.7563171774621994,0.80375,0.9058586108456751,0.7316
6,1000,4780,0.7477028237448798,0.80125,0.9414308175539515,0.7242
6,1100,4780,0.7402034416085198,0.805,0.9516059100438076,0.7221
6,1200,4780,0.7309642405737014,0.80725,0.9682854167215383,0.7206
