Hidden Neurons : 1 ; Parameters : 805 ; Train Loss : 0.079900 ; Train Acc : 0.217 ; Test Loss : 0.082933 ; Test Acc : 0.205
Hidden Neurons : 5 ; Parameters : 3985 ; Train Loss : 0.043175 ; Train Acc : 0.607 ; Test Loss : 0.050122 ; Test Acc : 0.564
Hidden Neurons : 10 ; Parameters : 7960 ; Train Loss : 0.008489 ; Train Acc : 0.972 ; Test Loss : 0.027048 ; Test Acc : 0.867
Hidden Neurons : 15 ; Parameters : 11935 ; Train Loss : 0.007837 ; Train Acc : 0.972 ; Test Loss : 0.025527 ; Test Acc : 0.878
Hidden Neurons : 20 ; Parameters : 15910 ; Train Loss : 0.006574 ; Train Acc : 0.975 ; Test Loss : 0.024971 ; Test Acc : 0.880
Hidden Neurons : 25 ; Parameters : 19885 ; Train Loss : 0.006033 ; Train Acc : 0.983 ; Test Loss : 0.024695 ; Test Acc : 0.882
Hidden Neurons : 30 ; Parameters : 23860 ; Train Loss : 0.005610 ; Train Acc : 0.984 ; Test Loss : 0.022467 ; Test Acc : 0.896
Hidden Neurons : 35 ; Parameters : 27835 ; Train Loss : 0.005343 ; Train Acc : 0.984 ; Test Loss : 0.023233 ; Test Acc : 0.892
Hidden Neurons : 40 ; Parameters : 31810 ; Train Loss : 0.004139 ; Train Acc : 0.992 ; Test Loss : 0.022278 ; Test Acc : 0.900
Hidden Neurons : 45 ; Parameters : 35785 ; Train Loss : 0.003964 ; Train Acc : 0.992 ; Test Loss : 0.022068 ; Test Acc : 0.901
Hidden Neurons : 50 ; Parameters : 39760 ; Train Loss : 0.004013 ; Train Acc : 0.989 ; Test Loss : 0.021666 ; Test Acc : 0.903
Hidden Neurons : 55 ; Parameters : 43735 ; Train Loss : 0.003352 ; Train Acc : 0.994 ; Test Loss : 0.021545 ; Test Acc : 0.901
Hidden Neurons : 60 ; Parameters : 47710 ; Train Loss : 0.004002 ; Train Acc : 0.993 ; Test Loss : 0.021506 ; Test Acc : 0.903
Hidden Neurons : 65 ; Parameters : 51685 ; Train Loss : 0.003546 ; Train Acc : 0.995 ; Test Loss : 0.021038 ; Test Acc : 0.909
Hidden Neurons : 70 ; Parameters : 55660 ; Train Loss : 0.003656 ; Train Acc : 0.992 ; Test Loss : 0.020680 ; Test Acc : 0.909
Hidden Neurons : 75 ; Parameters : 59635 ; Train Loss : 0.003059 ; Train Acc : 0.994 ; Test Loss : 0.021788 ; Test Acc : 0.903
Hidden Neurons : 80 ; Parameters : 63610 ; Train Loss : 0.003240 ; Train Acc : 0.997 ; Test Loss : 0.019646 ; Test Acc : 0.917
Hidden Neurons : 90 ; Parameters : 71560 ; Train Loss : 0.002782 ; Train Acc : 0.996 ; Test Loss : 0.021105 ; Test Acc : 0.909
Hidden Neurons : 100 ; Parameters : 79510 ; Train Loss : 0.002686 ; Train Acc : 0.997 ; Test Loss : 0.020052 ; Test Acc : 0.913
Hidden Neurons : 120 ; Parameters : 95410 ; Train Loss : 0.002824 ; Train Acc : 0.997 ; Test Loss : 0.020248 ; Test Acc : 0.915
Hidden Neurons : 150 ; Parameters : 119260 ; Train Loss : 0.002617 ; Train Acc : 0.998 ; Test Loss : 0.019593 ; Test Acc : 0.924
Hidden Neurons : 200 ; Parameters : 159010 ; Train Loss : 0.002304 ; Train Acc : 0.999 ; Test Loss : 0.019150 ; Test Acc : 0.929
