Hidden Neurons,Epoch,Parameters,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,100,805,1.9085128118121435,0.2805,1.7625246131496064,0.2754
1,200,805,1.8920551368168421,0.29075,1.7582572167086754,0.3231
1,300,805,1.8804903408837697,0.3,1.7574159377699445,0.3085
1,400,805,1.8722512305728973,0.29725,1.7537359113146544,0.3188
1,500,805,1.8663862754428198,0.31575,1.749436200044717,0.3129
1,600,805,1.865016365808154,0.30925,1.7491126781815935,0.3232
1,700,805,1.8616565768680875,0.3185,1.750224720140931,0.3159
1,800,805,1.8617247872882419,0.31375,1.7477855226796144,0.3246
1,900,805,1.8561410430877927,0.3135,1.7482418087637348,0.3212
1,1000,805,1.8562913300499084,0.31525,1.7483947854133168,0.3243
1,1100,805,1.8526546463133797,0.318,1.7457632524952007,0.3225
1,1200,805,1.8513138918649583,0.314,1.7466130089607967,0.3193
1,1300,805,1.8502280731049796,0.3165,1.745580825836036,0.3236
1,1400,805,1.850313485614837,0.31575,1.7448488891504372,0.3202
1,1500,805,1.8487772336081854,0.312,1.7442410903371823,0.3247
1,1600,805,1.8515905028297788,0.31675,1.7431950310992588,0.3214
1,1700,805,1.8504297071033053,0.32,1.7476860869462323,0.3236
1,1800,805,1.8458856874042087,0.31725,1.7475166343579627,0.3252
1,1900,805,1.8463753878124176,0.32125,1.74304121998465,0.3251
1,2000,805,1.8455077220523168,0.31675,1.7460413882686834,0.3257
2,100,1600,1.5794156127505832,0.53475,1.3292315458036532,0.5743
2,200,1600,1.5395594721748715,0.54725,1.3124693859914305,0.5717
2,300,1600,1.5224792257187858,0.549,1.3178910753529542,0.5665
2,400,1600,1.513207093117729,0.5545,1.3300880436684674,0.5644
2,500,1600,1.5046798653072782,0.56,1.3163349419642405,0.5756
2,600,1600,1.499812022088066,0.55725,1.3298619974191022,0.5672
2,700,1600,1.4895849814490667,0.5665,1.3323983891754394,0.5645
2,800,1600,1.487474865383572,0.565,1.3416126871564586,0.5593
2,900,1600,1.4841184824232072,0.56775,1.3376146585318693,0.5634
2,1000,1600,1.4815916560945057,0.5695,1.3316718947355914,0.5671
2,1100,1600,1.4762883848614163,0.5635,1.337632179260254,0.5645
2,1200,1600,1.4755260225326297,0.5655,1.34176632135537,0.5626
2,1300,1600,1.4746977015147134,0.568,1.3499830372773918,0.5589
2,1400,1600,1.4721691135376218,0.57,1.3426425316531188,0.5624
2,1500,1600,1.4725193428614782,0.56925,1.3468182690583976,0.5609
2,1600,1600,1.471395354422312,0.56425,1.357297487699302,0.5588
2,1700,1600,1.4687629748904516,0.56675,1.3453579894296683,0.5619
2,1800,1600,1.4661553416933333,0.56875,1.3484990038689535,0.5589
2,1900,1600,1.4674400810211423,0.57225,1.3631177912851808,0.553
2,2000,1600,1.462850496882484,0.57325,1.3655338473380751,0.5516
4,100,3190,1.157083285233331,0.71225,0.7870636381161441,0.7984
4,200,3190,1.1062759142073373,0.7195,0.8347674606332354,0.7662
4,300,3190,1.0775595137051173,0.7225,0.8574064102522128,0.7536
4,400,3190,1.0565776143755232,0.72475,0.854567932285321,0.752
4,500,3190,1.0425135540583776,0.73175,0.8667357698747307,0.7434
4,600,3190,1.0354834804459223,0.73425,0.8859838653521933,0.739
4,700,3190,1.0239625062261308,0.73425,0.8836687962720349,0.7364
4,800,3190,1.0197572159388708,0.73225,0.9114569469242338,0.7248
4,900,3190,1.011297621424236,0.736,0.9116223593046711,0.725
4,1000,3190,1.0076892139419678,0.736,0.9199781478590267,0.7218
4,1100,3190,1.0131714173725672,0.7335,0.9382388963820828,0.7151
4,1200,3190,1.0023321206607516,0.73625,0.9361980844075513,0.7157
4,1300,3190,0.995422879854838,0.73475,0.9443617937671152,0.7127
4,1400,3190,0.9952229195170932,0.73375,0.9418967058704157,0.7137
4,1500,3190,0.9931704818256317,0.73825,0.9490708268372117,0.7099
4,1600,3190,0.9895901689453731,0.739,0.9625741190211788,0.7073
4,1700,3190,0.9884657717886425,0.73825,0.9610346164672997,0.7073
4,1800,3190,0.9875907945254493,0.74,0.9605077258340872,0.7086
4,1900,3190,0.9823314377239772,0.73525,0.9632964073472722,0.7061
4,2000,3190,0.9807279497858078,0.73875,0.9842945872598393,0.7013
6,100,4780,1.0223300485383897,0.743,0.685270085456265,0.8236
6,200,4780,0.9346553210228209,0.7565,0.7609153615820939,0.7758
6,300,4780,0.8796109481463357,0.7695,0.7687715686810245,0.7715
6,400,4780,0.8484738620500716,0.77725,0.7972713452615555,0.758
6,500,4780,0.8272746006647745,0.7775,0.8424161852924688,0.7464
6,600,4780,0.8015766210026212,0.78625,0.8613391805226636,0.7434
6,700,4780,0.7839088922455197,0.788,0.8883171918665528,0.7338
6,800,4780,0.7753014739543672,0.7905,0.9203824996948242,0.724
6,900,4780,0.7612026877819545,0.79125,0.9541672882001111,0.7174
6,1000,4780,0.7516258217039562,0.79825,0.9667824092943957,0.7137
6,1100,4780,0.7382456702845437,0.79775,0.9808110146765496,0.711
6,1200,4780,0.7259062046096438,0.80225,0.9986652238353803,0.7086
6,1300,4780,0.7179289900121235,0.8005,1.0218593635756499,0.7059
6,1400,4780,0.7160336507691277,0.80075,1.053725723628026,0.6946
6,1500,4780,0.705967651946204,0.8025,1.0558163578722888,0.7008
6,1600,4780,0.7029480446898748,0.806,1.0733558947493316,0.695
6,1700,4780,0.6977044651432643,0.8075,1.1101121949921748,0.6906
6,1800,4780,0.6860208416741992,0.80875,1.1059598326683044,0.6926
6,1900,4780,0.6848743141643585,0.808,1.1309824817499536,0.688
6,2000,4780,0.6796936738112617,0.808,1.1398463742748188,0.6886
8,100,6370,0.9529660675260756,0.7535,0.7104216115489886,0.8022
8,200,6370,0.839016078010438,0.77575,0.7210823880259398,0.7864
8,300,6370,0.7752969558276828,0.78825,0.7863287259438995,0.7629
8,400,6370,0.7308250140576136,0.796,0.8264470235177666,0.7496
8,500,6370,0.702417021232938,0.80475,0.8699739330513462,0.7376
8,600,6370,0.6812110306724669,0.81125,0.9268294352634697,0.7193
8,700,6370,0.6572289670270587,0.81525,0.9607967407840072,0.7102
8,800,6370,0.6404256655110253,0.81925,0.9796753195440693,0.7087
8,900,6370,0.6244055292909108,0.8245,1.008122201747955,0.7074
8,1000,6370,0.6107811738574316,0.82775,1.0447134865317376,0.7031
8,1100,6370,0.6019612460855454,0.8285,1.0927972808764999,0.6858
8,1200,6370,0.5861767975110856,0.83175,1.1005380893968473,0.6897
8,1300,6370,0.5750517040964157,0.84,1.1323085098889223,0.6842
8,1400,6370,0.5663487348291609,0.83975,1.1563836543043708,0.6825
8,1500,6370,0.5543445197362749,0.842,1.1759194315998418,0.6791
8,1600,6370,0.5476395811826463,0.8425,1.211246754143648,0.6723
8,1700,6370,0.5393120246747184,0.84625,1.2417852840605814,0.6694
8,1800,6370,0.5295411504450298,0.8505,1.268752053664748,0.6669
8,1900,6370,0.5211139316596682,0.85525,1.3028067745220888,0.658
8,2000,6370,0.516953484406547,0.853,1.3111732976072152,0.6613
10,100,7960,0.8684790333112081,0.78025,0.6040290167946725,0.8384
10,200,7960,0.7358907153682103,0.8035,0.6789759963181368,0.8021
10,300,7960,0.6574445404703655,0.8215,0.7556902990219699,0.7773
