Hidden Neurons,Epoch,Parameters,Train Loss,Train Accuracy,Test Loss,Test Accuracy
10,50,7960,0.9971845083766513,0.75975,0.596019114278684,0.857
10,100,7960,0.8880358423505511,0.7765,0.6083910427275737,0.8408
10,150,7960,0.8149093890947009,0.78725,0.6461434596852892,0.8253
10,200,7960,0.7601870705210974,0.8035,0.6704922339339165,0.8124
10,250,7960,0.7193919339823345,0.809,0.704762805419363,0.7998
10,300,7960,0.6791225567696586,0.81875,0.7573116728264815,0.7809
10,350,7960,0.6477189442468068,0.82575,0.771606308734341,0.7752
10,400,7960,0.6270159624871754,0.8315,0.8506764760062953,0.7528
10,450,7960,0.5995723080067408,0.836,0.8325970353214605,0.7631
10,500,7960,0.5787215757937658,0.8365,0.8899121698300549,0.75
10,550,7960,0.5614686542087131,0.84525,0.90736466162144,0.745
10,600,7960,0.5450022395641084,0.8485,0.9338108914293302,0.7403
10,650,7960,0.5297056772406139,0.8515,0.9901938472583796,0.725
10,700,7960,0.515595639508868,0.85875,0.9963769927905624,0.7299
10,750,7960,0.5011407297755045,0.85975,1.0258727133463903,0.7239
10,800,7960,0.49357557485974024,0.86475,1.0469858936823098,0.719
10,850,7960,0.47907192413769073,0.87075,1.0921440179560595,0.7136
10,900,7960,0.46773812482281335,0.8685,1.104797068674853,0.7126
10,950,7960,0.45680758877406047,0.877,1.1281223851404372,0.7093
10,1000,7960,0.4489556726009127,0.8775,1.1487452942094984,0.7055
10,1050,7960,0.4394387352088141,0.87625,1.1859459036095128,0.7041
10,1100,7960,0.43141111897097695,0.886,1.2057507222245454,0.6978
10,1150,7960,0.42074991715332816,0.886,1.2217810995829332,0.6975
10,1200,7960,0.4168730113241408,0.88575,1.2569101995723262,0.6975
10,1250,7960,0.4068549975516304,0.888,1.2927972915445922,0.6853
10,1300,7960,0.40069415384814855,0.89125,1.3173576988232363,0.6852
10,1350,7960,0.3936828218755268,0.89525,1.3334458958191477,0.6891
10,1400,7960,0.38486163909473114,0.8955,1.339768250277088,0.6842
10,1450,7960,0.3796042925308621,0.897,1.3775689729080078,0.6794
10,1500,7960,0.3722980521501057,0.90175,1.4082274717889773,0.6801
10,1550,7960,0.368088446675785,0.90475,1.424777721713303,0.6819
10,1600,7960,0.3625678389318406,0.90475,1.4432641622746827,0.6733
10,1650,7960,0.35633231049019193,0.90725,1.4748136822585087,0.6769
10,1700,7960,0.35269576618595727,0.907,1.503596999652826,0.6738
10,1750,7960,0.3466067302321631,0.909,1.5078778709195981,0.6689
10,1800,7960,0.3414782060990258,0.91325,1.5390831298509222,0.6695
10,1850,7960,0.33549922184338643,0.91325,1.5529927537319765,0.6677
10,1900,7960,0.3321530442862284,0.914,1.566648555219553,0.6675
10,1950,7960,0.3266916956220354,0.918,1.5963440357120173,0.6641
10,2000,7960,0.32436740303796435,0.9175,1.6117055719825113,0.6634
20,50,8070,0.9921876608379303,0.76675,0.5676718514626193,0.8669
20,100,8070,0.8600045083061097,0.786,0.6497224328244567,0.8278
20,150,8070,0.7589689110006604,0.80475,0.7461685130170955,0.79
20,200,8070,0.6765829480829693,0.82,0.7512314404082147,0.7875
20,250,8070,0.622334929685744,0.8275,0.879394690701916,0.7585
20,300,8070,0.5647001384742676,0.83825,1.0132676657218083,0.7414
20,350,8070,0.5188503695858849,0.85525,1.0494613915112367,0.7373
20,400,8070,0.4784363607565562,0.865,1.2274598171756526,0.72
20,450,8070,0.4386110424049317,0.87825,1.2700058138294585,0.7239
