Hidden Neurons,Epoch,Parameters,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,100,805,1.9113032836762687,0.29375,1.8138376087140127,0.3113
1,200,805,1.8914346524647303,0.29975,1.7910608873245821,0.3128
1,300,805,1.8815377004562863,0.30875,1.7600209530751416,0.3119
1,400,805,1.8727922401730976,0.312,1.7516466037482972,0.3088
1,500,805,1.870580099877857,0.31125,1.7514447072508987,0.3094
1,600,805,1.868165309467013,0.3115,1.749524168907457,0.31
1,700,805,1.865515665402488,0.313,1.752669073214197,0.3075
1,800,805,1.8643446536291213,0.31375,1.7529743833906333,0.3067
1,900,805,1.8656417434177701,0.3135,1.7682969881470796,0.3165
1,1000,805,1.8689945122552296,0.3165,1.7583348265119418,0.3057
1,1100,805,1.8621378020634727,0.317,1.7555144858208431,0.3052
1,1200,805,1.8639428369582645,0.315,1.7609192277215848,0.3051
1,1300,805,1.8605340416469272,0.31875,1.768281528144885,0.3113
1,1400,805,1.8588113236048864,0.316,1.7656255360621556,0.3105
1,1500,805,1.862252046191503,0.31125,1.7676603110732547,0.3106
1,1600,805,1.8588189870592147,0.31625,1.764094713387216,0.3034
1,1700,805,1.857357693096948,0.3175,1.7650370590246407,0.301
1,1800,805,1.85764493639507,0.3165,1.7620614076116283,0.3038
1,1900,805,1.857284596988133,0.31675,1.7687459774078078,0.3089
1,2000,805,1.8576024695048257,0.315,1.7661432635252643,0.3066
2,100,1600,1.6332941963559104,0.46625,1.3836449065785499,0.4953
2,200,1600,1.6017812452619038,0.46775,1.3842878956703624,0.4894
2,300,1600,1.5864431139022586,0.46925,1.4109098668311053,0.4693
2,400,1600,1.5798465202725123,0.47125,1.4042800178953037,0.4737
2,500,1600,1.5739262860918801,0.465,1.4310925910427312,0.4539
2,600,1600,1.5677471671785628,0.46225,1.398760115265087,0.4708
2,700,1600,1.559250517496987,0.47025,1.3865265022417543,0.4834
2,800,1600,1.5583832699155051,0.4745,1.3903732072016237,0.4887
2,900,1600,1.5494894148811462,0.48,1.4066382244134406,0.4829
2,1000,1600,1.5462178616296678,0.48725,1.388388623477547,0.4896
2,1100,1600,1.5412704149882,0.48825,1.3871137036639414,0.4932
2,1200,1600,1.537994492621649,0.48975,1.4013587225014996,0.4891
2,1300,1600,1.5435994466145833,0.49275,1.422945204813769,0.4799
2,1400,1600,1.5347762334914434,0.4915,1.4010650811681322,0.4898
2,1500,1600,1.533641535138327,0.49375,1.4028603389004992,0.4878
2,1600,1600,1.5345070040415203,0.4935,1.4380244958172939,0.4722
2,1700,1600,1.5321793726512365,0.49375,1.4089791448252975,0.4886
2,1800,1600,1.5317199551869953,0.495,1.4410764244711323,0.4743
2,1900,1600,1.531994348480588,0.494,1.4128965940445093,0.4897
2,2000,1600,1.5286510047458468,0.49175,1.4167190866105874,0.4861
4,100,3190,1.3401865542881073,0.64725,1.0138977526859114,0.6953
4,200,3190,1.2918043761026292,0.6525,1.020546830004188,0.6893
4,300,3190,1.2695787804467338,0.6585,1.0559434123859284,0.6703
4,400,3190,1.2516924956488231,0.65925,1.0474958131267766,0.6695
4,500,3190,1.2439727225000896,0.66475,1.0582096994302834,0.6661
4,600,3190,1.2319411673243084,0.66175,1.0785257550561504,0.6578
4,700,3190,1.2275973444893247,0.66725,1.0711734997239082,0.6589
4,800,3190,1.2038518436371335,0.67425,1.0740860522173012,0.6597
4,900,3190,1.1432963051493206,0.699,1.0271796899236691,0.6814
4,1000,3190,1.0749333349485246,0.71825,0.9585312278407394,0.7144
4,1100,3190,1.046396790042756,0.72725,0.9308404875029425,0.727
4,1200,3190,1.0288890392061263,0.73025,0.935460835505443,0.7272
4,1300,3190,1.019665637659648,0.73325,0.9426335282386489,0.7188
4,1400,3190,1.0052864523161025,0.73375,0.9484733320345544,0.717
4,1500,3190,1.002197437816196,0.7345,0.9742449366362991,0.7134
4,1600,3190,0.9910525301146129,0.73825,0.959001320562545,0.7152
4,1700,3190,0.9860672884517245,0.7375,0.9849138113723439,0.706
4,1800,3190,0.9879342478419108,0.741,0.9847380976388409,0.7027
4,1900,3190,0.9766983910212441,0.74175,0.9864523046335597,0.7036
4,2000,3190,0.9770934383074442,0.74025,0.9879398216867143,0.7045
6,100,4780,1.0175326504404583,0.73975,0.7105759655594066,0.8095
6,200,4780,0.9291603111085438,0.7525,0.7684582230771423,0.7805
6,300,4780,0.8754831107835921,0.76025,0.8089433010596379,0.7637
6,400,4780,0.8476330855536083,0.76875,0.8797290799724069,0.7339
6,500,4780,0.8142283643995013,0.77275,0.8879120057555521,0.7335
6,600,4780,0.7948908427404979,0.77825,0.9075072117292198,0.7279
6,700,4780,0.7820448250997634,0.7805,0.9525421948949243,0.7168
6,800,4780,0.770604944418347,0.785,0.9641405093442103,0.7147
6,900,4780,0.7575657736687433,0.787,0.99816849448119,0.7046
6,1000,4780,0.752904356472076,0.78625,1.0312716824233912,0.6927
6,1100,4780,0.740382678925045,0.7905,1.0365591810387411,0.6973
6,1200,4780,0.732816529652429,0.7945,1.066638585868155,0.69
6,1300,4780,0.7241296479626308,0.7955,1.06190337345099,0.6906
6,1400,4780,0.7216917579136197,0.79475,1.1011691731252489,0.6845
