Hidden Neurons,Epoch,Parameters,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,100,805,1.935240660394941,0.262,1.7958635896634145,0.2912
1,200,805,1.9161474174923367,0.28275,1.7954183740980307,0.3005
1,300,805,1.9063924399633256,0.2765,1.7714187878711967,0.309
1,400,805,1.9018533892101712,0.28,1.7692021275781522,0.3122
1,500,805,1.9005350442159743,0.2765,1.7736508679238094,0.3151
1,600,805,1.8940288471797155,0.28325,1.7702310799033778,0.3179
1,700,805,1.8930985870815458,0.28625,1.7649714331718007,0.3187
1,800,805,1.8910870060088143,0.288,1.7743171058642637,0.3225
1,900,805,1.8886586181701175,0.292,1.7689809518255246,0.3203
1,1000,805,1.8863722294095964,0.2925,1.7665311424595536,0.3225
1,1100,805,1.8855268993074932,0.29375,1.7719900061370462,0.3259
1,1200,805,1.8827030204591297,0.29425,1.7705604840236104,0.3238
1,1300,805,1.8813148907252721,0.297,1.7658444369674489,0.3228
1,1400,805,1.8786415202277047,0.30375,1.765911172150047,0.3213
1,1500,805,1.879463277165852,0.30025,1.7663141853490454,0.3202
1,1600,805,1.8771476745605469,0.2985,1.7652595316528514,0.3171
1,1700,805,1.8767120327268327,0.29975,1.7796177438869598,0.3217
1,1800,805,1.8761689114192175,0.2975,1.7606260085561474,0.3197
1,1900,805,1.8766009580521357,0.30425,1.7699545720580276,0.3191
1,2000,805,1.8754263548623948,0.29825,1.7753089119674295,0.3209
2,100,1600,1.5782623385626173,0.53225,1.295283699111574,0.5955
2,200,1600,1.5430085072441706,0.54075,1.3033830550066225,0.5788
2,300,1600,1.5238052776881628,0.5495,1.2905501438553926,0.582
2,400,1600,1.518919791494097,0.553,1.310622524303995,0.5804
2,500,1600,1.5036961407888503,0.55425,1.303772264605115,0.5775
2,600,1600,1.4975431703385853,0.557,1.3105870868749678,0.578
2,700,1600,1.491466692515782,0.556,1.314060082860813,0.5683
2,800,1600,1.4881384978218684,0.555,1.315606506766787,0.57
2,900,1600,1.4855124042147683,0.5555,1.3191383389910316,0.5683
2,1000,1600,1.4824638347777108,0.55925,1.3204467471238155,0.5676
2,1100,1600,1.4814368410715981,0.56075,1.3250324160430083,0.5648
2,1200,1600,1.4811128510369196,0.558,1.3288625452169187,0.5629
2,1300,1600,1.4785480858787658,0.5595,1.3528305546493287,0.5416
2,1400,1600,1.4760858180030945,0.5635,1.3294318306977582,0.5617
2,1500,1600,1.4741513804783897,0.559,1.3319561424528716,0.5646
2,1600,1600,1.4763478551592146,0.55875,1.3348232746883562,0.5626
2,1700,1600,1.4757527245415583,0.55925,1.3404518407621202,0.5574
2,1800,1600,1.473398038319179,0.5635,1.3333150645729843,0.5613
2,1900,1600,1.4697606166203816,0.56025,1.3401311571431007,0.5605
2,2000,1600,1.47003792391883,0.56125,1.339160777580966,0.559
4,100,3190,1.192409548494551,0.70325,0.8121887927602052,0.7792
4,200,3190,1.1169811051989358,0.71775,0.8415626572195891,0.7575
4,300,3190,1.0816732096293615,0.72125,0.878961791468274,0.7406
4,400,3190,1.0623455936946566,0.72375,0.8811854275928181,0.7348
4,500,3190,1.0451070997450087,0.72675,0.9042595545197748,0.727
4,600,3190,1.0362257247879392,0.728,0.9153306347549341,0.7247
4,700,3190,1.0297893437128218,0.72875,0.9303608796778758,0.7189
4,800,3190,1.0190520381170607,0.72575,0.9395903407768079,0.7135
4,900,3190,1.0122437590644473,0.73,0.9479137328779621,0.7129
4,1000,3190,1.006926381398761,0.732,0.9607832946215465,0.707
4,1100,3190,1.0041733838263012,0.73375,0.9626665447547937,0.7107
4,1200,3190,0.998950407618568,0.73125,0.9629215106462977,0.7074
4,1300,3190,0.9995830920007494,0.73525,0.9837822834397577,0.698
4,1400,3190,0.9925617197203258,0.7365,0.983281887640619,0.6993
4,1500,3190,0.9880344763634696,0.73375,0.9894205048965041,0.6979
4,1600,3190,0.9893603362734356,0.73725,0.9911225060368799,0.6971
4,1700,3190,0.988602908830794,0.73775,1.0054912648762866,0.69
4,1800,3190,0.9848103608403888,0.73825,0.9994819743238437,0.6949
4,1900,3190,0.9794625762909178,0.73825,1.0084778434911352,0.6898
4,2000,3190,0.9814012031706553,0.73975,1.0181656274825903,0.6909
